date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:33	112/112	---MC-	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2012:33:34%20GMT	https://itbyjayce.durablesites.com/robots.txt		(from )
13:37:33	68641/68641	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2012:37:34%20GMT	https://itbyjayce.durablesites.com/?pt=NjdiMzJhYjdlNDkzMzlhNTBiY2VlYjRlOjE3Mzk3OTUxOTYuNzAzOnByZXZpZXc=	C:/My%20Web%20Sites/itbyjayce/itbyjayce.durablesites.com/indexcfcb.html	(from )
13:37:33	79259/79259	---MCZ	200	added ('OK')	text/css	etag:W/%221359b-195061196b0%22	https://itbyjayce.durablesites.com/_next/static/css/dc6c54cf3e30cdd6.css	C:/My%20Web%20Sites/itbyjayce/itbyjayce.durablesites.com/_next/static/css/dc6c54cf3e30cdd6.css	(from https://itbyjayce.durablesites.com/?pt=NjdiMzJhYjdlNDkzMzlhNTBiY2VlYjRlOjE3Mzk3OTUxOTYuNzAzOnByZXZpZXc=)
13:37:33	11055/11055	---MCZ	200	added ('OK')	text/css	etag:W/%222b2f-195061196b0%22	https://itbyjayce.durablesites.com/_next/static/css/6ad5f70cb56137d7.css	C:/My%20Web%20Sites/itbyjayce/itbyjayce.durablesites.com/_next/static/css/6ad5f70cb56137d7.css	(from https://itbyjayce.durablesites.com/?pt=NjdiMzJhYjdlNDkzMzlhNTBiY2VlYjRlOjE3Mzk3OTUxOTYuNzAzOnByZXZpZXc=)
13:37:33	68641/68641	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2012:37:34%20GMT	https://itbyjayce.durablesites.com/?pt=NjdiMzJhYjdlNDkzMzlhNTBiY2VlYjRlOjE3Mzk3OTUxOTYuNzAzOnByZXZpZXc%3D	C:/My%20Web%20Sites/itbyjayce/itbyjayce.durablesites.com/index7959.html	(from https://itbyjayce.durablesites.com/?pt=NjdiMzJhYjdlNDkzMzlhNTBiY2VlYjRlOjE3Mzk3OTUxOTYuNzAzOnByZXZpZXc=)
13:37:34	23312/23312	---MCZ	200	added ('OK')	text/css	etag:W/%225b10-195061196b8%22	https://itbyjayce.durablesites.com/_next/static/css/26a1a5c22ee4e247.css	C:/My%20Web%20Sites/itbyjayce/itbyjayce.durablesites.com/_next/static/css/26a1a5c22ee4e247.css	(from https://itbyjayce.durablesites.com/?pt=NjdiMzJhYjdlNDkzMzlhNTBiY2VlYjRlOjE3Mzk3OTUxOTYuNzAzOnByZXZpZXc=)
13:37:34	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-195061196b0%22	https://itbyjayce.durablesites.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/itbyjayce/itbyjayce.durablesites.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://itbyjayce.durablesites.com/?pt=NjdiMzJhYjdlNDkzMzlhNTBiY2VlYjRlOjE3Mzk3OTUxOTYuNzAzOnByZXZpZXc=)
13:37:34	12900/12900	---MCZ	200	added ('OK')	application/javascript	etag:W/%223264-195061196b4%22	https://itbyjayce.durablesites.com/_next/static/chunks/1379.a42851f360dd78cb.js	C:/My%20Web%20Sites/itbyjayce/itbyjayce.durablesites.com/_next/static/chunks/1379.a42851f360dd78cb.js	(from https://itbyjayce.durablesites.com/?pt=NjdiMzJhYjdlNDkzMzlhNTBiY2VlYjRlOjE3Mzk3OTUxOTYuNzAzOnByZXZpZXc=)
13:37:34	51546/51546	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c95a-195061196b8%22	https://itbyjayce.durablesites.com/_next/static/chunks/94726e6d.7f2b3b7a2ac48163.js	C:/My%20Web%20Sites/itbyjayce/itbyjayce.durablesites.com/_next/static/chunks/94726e6d.7f2b3b7a2ac48163.js	(from https://itbyjayce.durablesites.com/?pt=NjdiMzJhYjdlNDkzMzlhNTBiY2VlYjRlOjE3Mzk3OTUxOTYuNzAzOnByZXZpZXc=)
13:37:34	19402/19402	---MCZ	200	added ('OK')	application/javascript	etag:W/%224bca-195061196b8%22	https://itbyjayce.durablesites.com/_next/static/chunks/4715.f9edd631f6d53dab.js	C:/My%20Web%20Sites/itbyjayce/itbyjayce.durablesites.com/_next/static/chunks/4715.f9edd631f6d53dab.js	(from https://itbyjayce.durablesites.com/?pt=NjdiMzJhYjdlNDkzMzlhNTBiY2VlYjRlOjE3Mzk3OTUxOTYuNzAzOnByZXZpZXc=)
